athlete_id,meet_name,meet_date,event,result_distance,result_time,wind
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,LJ,5.0,,(+0.0)
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,JT,23.81,,
8,Gibson Invitational Heptathlon & Decathlon,2021-04-15,800,,2:25.78,
8,Big Blue Classic,2021-04-09,200,,24.99,(0.8)
8,Big Blue Classic,2021-04-09,100H,,14.88,(1.0)
8,Big Blue Classic,2021-04-09,LJ,5.13,,
8,Illinois State Redbird Invitational,2021-04-02,100H,,14.75,(3.2)
8,Illinois State Redbird Invitational,2021-04-02,400H,,1:02.23,
8,Illinois State Redbird Invitational,2021-04-02,JT,20.01,,
8,Horizon League Indoor Track & Field Championships,2021-02-26,200,,25.47,
8,Horizon League Indoor Track & Field Championships,2021-02-26,200,,25.81,
8,Horizon League Indoor Track & Field Championships,2021-02-26,4x400,,3:59.75,
8,Horizon League Indoor Track & Field Championships,2021-02-26,Pent,,3143,
8,Horizon League Indoor Track & Field Championships,2021-02-26,60H,,9.72,
8,Horizon League Indoor Track & Field Championships,2021-02-26,HJ,1.48,,
8,Horizon League Indoor Track & Field Championships,2021-02-26,SP,9.26,,
8,Horizon League Indoor Track & Field Championships,2021-02-26,LJ,5.2,,
8,Horizon League Indoor Track & Field Championships,2021-02-26,800,,2:30.70,
8,UW-Parkside Triangular,2021-02-19,200,,25.64,
8,UW-Parkside Triangular,2021-02-19,55H,,8.44,
73,Gibson Invitational,2026-04-16,LJ,5.85,,(0.6)
73,Gibson Invitational,2026-04-16,TJ,11.37,,(1.4)
73,Duke Invitational,2026-04-10,100,,12.26,(-0.6)
73,Duke Invitational,2026-04-10,LJ,5.74,,(1.0)
73,Duke Invitational,2026-04-10,TJ,11.54,,(1.6)
73,UW-La Crosse Ashton May Invitational,2026-04-03,LJ,5.72,,(1.1)
73,Raleigh Relays,2026-03-26,LJ,5.72,,(0.6)
73,Raleigh Relays,2026-03-26,TJ,,,
73,2026 Horizon League Indoor Track & Field Championship,2026-02-28,LJ,5.85,,
73,2026 Horizon League Indoor Track & Field Championship,2026-02-28,TJ,11.39,,
73,Panther Tune-up,2026-02-21,LJ,5.86,,
73,Panther Tune-up,2026-02-21,TJ,11.72,,
73,2026 Blue Demon Alumni Classic,2026-02-13,LJ,6.18,,
73,2026 Blue Demon Alumni Classic,2026-02-13,TJ,11.64,,
73,Iowa State Classic,2026-02-06,LJ,5.3,,
73,Iowa State Classic,2026-02-06,TJ,11.29,,
73,2026 Meyo Invitational (Notre Dame Indoor T&F),2026-01-30,60,,,
73,2026 Meyo Invitational (Notre Dame Indoor T&F),2026-01-30,LJ,5.62,,(+0.0)
73,Larry Wieczorek Invitational,2026-01-23,60,,7.92,
73,Larry Wieczorek Invitational,2026-01-23,LJ,5.66,,
73,Larry Wieczorek Invitational,2026-01-23,TJ,11.25,,
73,Tierney Classic,2026-01-18,60,,7.91,
73,Tierney Classic,2026-01-18,60,,7.95,
73,Tierney Classic,2026-01-18,LJ,5.84,,
73,Tierney Classic,2026-01-18,TJ,11.32,,
73,2025 Blue Demon Holiday Invite,2025-12-12,LJ,5.33,,
116,Gibson Invitational,2026-04-16,PV,3.59,,
116,Marquette Invitational,2026-04-10,PV,3.73,,
116,UW-La Crosse Ashton May Invitational,2026-04-03,PV,3.62,,
116,Joyce Morton-Kief Invite,2026-03-27,PV,3.58,,
116,2026 Horizon League Indoor Track & Field Championship,2026-02-28,PV,3.47,,
116,Panther Tune-up,2026-02-21,PV,3.93,,
